地名,センター,燃えるごみ,燃えないごみ,資源物
五軒町一丁目　4、5番の北側,環境センター,月 木 *1,水1 水3 *1,金1 金3
五軒町一丁目　上記以外,環境センター,月 水 金 *2,木2 木4 *1,金1 金3
